run,alpha,beta,gamma,D,coherence,entropy
52,0.0911555170354896,0.08104471926279469,0.4264623839587764,0.8473687077398441,0.0004591699297452828,-52.37856448734758
53,0.0923331203605067,0.10244662161060136,0.5729252414434518,0.7408699654767847,0.0020753257239979122,-50.60974475198329
54,0.0710091483570387,0.09452957987860343,0.410926012656871,0.8073130912669905,0.00019726322391724728,-59.36701089583489
55,0.0546554143335929,0.11886623679959149,0.5903159882781877,0.6970090805992256,0.0011697421520079831,-45.657414760645935
56,0.09920959252712884,0.09333649064058613,0.7042209748014825,0.6785561668858098,0.0018245918558812363,-56.16465417152542
57,0.05436748214510875,0.08921908398206913,0.5466366423833476,0.7243130794240348,0.0011362158234227322,-50.843439242639846
58,0.0682552791511347,0.09804823663573352,0.5976362092606737,0.6302488266380547,0.0015708904657520829,-45.72074483088453
59,0.09620175577872127,0.08631482322139168,0.8201490460894785,0.6336627763445832,0.0030236569998146725,-45.500799274273646
60,0.06504366650233094,0.08747783265367512,0.4939096061809317,0.8662998281153236,0.001229757515227759,-47.90609376138769
61,0.09122347379566409,0.087253989299888,0.8263960609242316,0.7998205229386557,0.0045444053469565725,-39.88881247427875
62,0.05168773552116042,0.09956430031862339,0.8076510583685297,0.7645607999239098,0.0017478329591256666,-45.73878102337108
63,0.07769705112502932,0.09584991574821466,0.328876063548046,0.8102690244371411,0.00038127887008122737,-49.98113919889557
64,0.0689549262716885,0.10268392668718457,0.6573555075942732,0.7799435595421811,0.0014513348943914666,-46.16592036237048
65,0.060932252507360306,0.08125610878010323,0.47227516640382206,0.6690578622220825,0.0006735725859874035,-43.229866370647045
66,0.05771437890656379,0.08534798242800264,0.5176112797061325,0.8716435501782526,0.0005154310407640116,-45.00100079552109
67,0.07729257149674894,0.11435426442365436,0.7115355519399476,0.7326367284053736,0.0005295010258732692,-47.70028489019257
68,0.06296857349742217,0.08173444204647601,0.6492182052759626,0.6450048671244485,0.0016642253785264561,-45.85132502353177
69,0.06481245808362168,0.11236270862693307,0.5101515151340469,0.9157637025723571,0.0012550623106186533,-45.015211193201296
70,0.09637402693094795,0.11489705177636862,0.6507787635573319,0.9620680694895187,0.001507955912600401,-42.89537998827346
71,0.05927876374092697,0.0954639721216828,0.7991377191823019,0.6794789796159528,0.0027427870996299545,-55.613259160379556
72,0.055336910112765536,0.10737370533114748,0.6209775704346523,0.7476748306999861,0.001015718221409595,-51.70437904379106
73,0.08213449578930396,0.10154483723875787,0.6071387894751781,0.8441028908451985,0.0016965510149295846,-44.214101000831185
74,0.06011011467151207,0.11138190416442242,0.8163223435422187,0.7308340804325739,0.000994897606148301,-56.15135384225555
75,0.07844701100596228,0.0826385691035777,0.8328664019401544,0.9718632708696275,0.002901273460943587,-50.7378835304264
76,0.06554148998781777,0.112759488828754,0.5008515747429151,0.6774854074694171,0.0004103015862852842,-59.22189293836546
77,0.09595545158995909,0.10568782399695421,0.7522273378375062,0.655725827241094,0.000803011140372305,-55.71526522649015
78,0.05240906137501189,0.10723852055470871,0.7792176407422811,0.920043436663153,0.0024789771780511444,-48.7592230970469
79,0.07503340631701906,0.0987226970379246,0.6004695153853394,0.6596712661808433,0.0023650916457179194,-46.31747585863616
80,0.07609578582501275,0.10797625468058655,0.46192138264377014,0.8697927498755968,0.0020217166698894,-53.59443182461003
81,0.06777095589026183,0.09363395506757206,0.8598638653689421,0.9655276742580106,0.0031084157021224967,-41.061726413661454
82,0.06376128349006689,0.10556923043701079,0.6743395274012279,0.9112169229261664,0.0014282934408526074,-59.09814747939118
83,0.062852121355257,0.10735150332284289,0.6981850545414694,0.9108521737865599,0.002321455167142747,-47.02426414304097
84,0.05230204968157428,0.09480969264462397,0.44539096049484284,0.851392002017834,0.0014493367560972192,-42.5500021937283
85,0.08101869072766281,0.10035812274581628,0.4789469050552372,0.8615194849570382,0.0008418756993467488,-50.42003839636566
86,0.060130347681444526,0.08828372416243893,0.3915826459801476,0.9018371246102092,0.00045035050883908786,-53.25764386732673
87,0.08281320926164784,0.1181960550765291,0.88252562099629,0.6391328709261549,0.0014414240784376342,-57.290141145628716
